,longitude,latitude,thickness
370,-169.5,88.5,3.0
371,-168.5,88.5,3.0
372,-167.5,88.5,3.0
373,-166.5,88.5,3.0
374,-165.5,88.5,3.0
375,-164.5,88.5,3.0
376,-163.5,88.5,3.0
377,-162.5,88.5,3.0
378,-161.5,88.5,3.0
379,-160.5,88.5,3.0
380,-159.5,88.5,3.0
381,-158.5,88.5,3.0
382,-157.5,88.5,3.0
383,-156.5,88.5,3.0
384,-155.5,88.5,3.0
385,-154.5,88.5,3.0
386,-153.5,88.5,3.0
387,-152.5,88.5,3.0
388,-151.5,88.5,3.0
389,-150.5,88.5,3.0
390,-149.5,88.5,3.0
391,-148.5,88.5,3.0
392,-147.5,88.5,3.0
393,-146.5,88.5,3.0
394,-145.5,88.5,3.0
395,-144.5,88.5,3.0
396,-143.5,88.5,3.0
397,-142.5,88.5,3.0
398,-141.5,88.5,3.0
399,-140.5,88.5,3.0
400,-139.5,88.5,3.0
401,-138.5,88.5,3.0
402,-137.5,88.5,3.0
403,-136.5,88.5,3.0
404,-135.5,88.5,3.0
405,-134.5,88.5,3.0
406,-133.5,88.5,3.0
407,-132.5,88.5,3.0
408,-131.5,88.5,3.0
409,-130.5,88.5,3.0
410,-129.5,88.5,3.0
411,-128.5,88.5,3.0
412,-127.5,88.5,3.0
413,-126.5,88.5,3.0
414,-125.5,88.5,3.0
415,-124.5,88.5,3.0
416,-123.5,88.5,3.0
417,-122.5,88.5,3.0
418,-121.5,88.5,3.0
419,-120.5,88.5,3.0
420,-119.5,88.5,3.0
421,-118.5,88.5,3.0
422,-117.5,88.5,3.0
423,-116.5,88.5,3.0
424,-115.5,88.5,3.0
425,-114.5,88.5,3.0
426,-113.5,88.5,3.0
427,-112.5,88.5,3.0
428,-111.5,88.5,3.0
429,-110.5,88.5,3.0
430,-109.5,88.5,3.0
431,-108.5,88.5,3.0
432,-107.5,88.5,3.0
433,-106.5,88.5,3.0
434,-105.5,88.5,3.0
435,-104.5,88.5,3.0
436,-103.5,88.5,3.0
437,-102.5,88.5,3.0
438,-101.5,88.5,3.0
439,-100.5,88.5,3.0
440,-99.5,88.5,3.0
441,-98.5,88.5,3.0
442,-97.5,88.5,3.0
443,-96.5,88.5,3.0
444,-95.5,88.5,3.0
445,-94.5,88.5,3.0
446,-93.5,88.5,3.0
447,-92.5,88.5,3.0
448,-91.5,88.5,3.0
449,-90.5,88.5,3.0
450,-89.5,88.5,3.0
451,-88.5,88.5,3.0
452,-87.5,88.5,3.0
453,-86.5,88.5,3.0
454,-85.5,88.5,3.0
455,-84.5,88.5,3.0
456,-83.5,88.5,3.0
457,-82.5,88.5,3.0
458,-81.5,88.5,3.0
459,-80.5,88.5,3.0
460,-79.5,88.5,3.0
461,-78.5,88.5,3.0
462,-77.5,88.5,3.0
463,-76.5,88.5,3.0
464,-75.5,88.5,3.0
465,-74.5,88.5,3.0
466,-73.5,88.5,3.0
467,-72.5,88.5,3.0
468,-71.5,88.5,3.0
469,-70.5,88.5,3.0
470,-69.5,88.5,3.0
471,-68.5,88.5,3.0
472,-67.5,88.5,3.0
473,-66.5,88.5,3.0
474,-65.5,88.5,3.0
475,-64.5,88.5,3.0
476,-63.5,88.5,3.0
477,-62.5,88.5,3.0
478,-61.5,88.5,3.0
479,-60.5,88.5,3.0
480,-59.5,88.5,3.0
481,-58.5,88.5,3.0
482,-57.5,88.5,3.0
483,-56.5,88.5,3.0
484,-55.5,88.5,3.0
485,-54.5,88.5,3.0
486,-53.5,88.5,3.0
487,-52.5,88.5,3.0
488,-51.5,88.5,3.0
489,-50.5,88.5,3.0
490,-49.5,88.5,3.0
491,-48.5,88.5,3.0
492,-47.5,88.5,3.0
493,-46.5,88.5,3.0
494,-45.5,88.5,3.0
495,-44.5,88.5,3.0
496,-43.5,88.5,3.0
497,-42.5,88.5,3.0
498,-41.5,88.5,3.0
499,-40.5,88.5,3.0
500,-39.5,88.5,3.0
501,-38.5,88.5,3.0
502,-37.5,88.5,3.0
503,-36.5,88.5,3.0
504,-35.5,88.5,3.0
505,-34.5,88.5,3.0
506,-33.5,88.5,3.0
507,-32.5,88.5,3.0
508,-31.5,88.5,3.0
509,-30.5,88.5,3.0
510,-29.5,88.5,3.0
511,-28.5,88.5,3.0
